//nif_fild01.gat
//nif_fild01.gat,0,0,0,0	monster	Gibbet	1503,7,0,0,0
//nif_fild01.gat,0,0,0,0	monster	Loli Ruri	1505,2,0,0,0
//nif_fild01.gat,0,0,0,0	monster	Disguise	1506,7,0,0,0
//nif_fild01.gat,0,0,0,0	monster	Bloody Murderer	1507,1,0,0,0
//nif_fild01.gat,0,0,0,0	monster	Quve	1508,10,0,0,0
//nif_fild01.gat,0,0,0,0	monster	Lude	1509,10,0,0,0
nif_fild01.gat,0,0,0,0	monster	Pyro	1502,10,0,0,0
//nif_fild01.gat,0,0,0,0	monster	Hylozoist	1510,7,0,0,0
nif_fild01.gat,0,0,0,0	monster	Ghostring	1120,1,1800000,200000,0

//nif_fild02.gat
//nif_fild02.gat,0,0,0,0	monster	Gibbet	1503,7,0,0,0
//nif_fild02.gat,0,0,0,0	monster	Loli Ruri	1505,5,0,0,0
//nif_fild02.gat,0,0,0,0	monster	Disguise	1506,7,0,0,0
//nif_fild02.gat,0,0,0,0	monster	Bloody Murderer	1507,5,0,0,0
nif_fild02.gat,0,0,0,0	monster	Pyro	1502,10,0,0,0
//nif_fild02.gat,0,0,0,0	monster	Hylozoist	1510,5,0,0,0
//nif_fild02.gat,0,0,0,0	monster	Dullahan	1504,5,0,0,0
nif_fild02.gat,0,0,0,0	monster	Amon Ra	1511,1,2400000,3600000,0

//nif_in.gat
//nif_in.gat,116,173,0,0	monster	Dracula	1389,1,3600000,7200000,0
nif_fild02.gat,0,0,0,0	monster	Lord Of Death	1373,1,3600000,1800000,1
